quarter,qlabel,period,iphone,ipad,ipod,mac
1998-12-30,Q4/98,1,NA,NA,NA,0.944
1999-03-30,Q1/99,2,NA,NA,NA,0.827
1999-06-30,Q2/99,3,NA,NA,NA,0.905
1999-09-30,Q3/99,4,NA,NA,NA,0.772
1999-12-30,Q4/99,5,NA,NA,NA,1.377
2000-03-30,Q1/00,6,NA,NA,NA,1.043
2000-06-30,Q2/00,7,NA,NA,NA,1.016
2000-09-30,Q3/00,8,NA,NA,NA,1.122
2000-12-30,Q4/00,9,NA,NA,NA,0.659
2001-03-30,Q1/01,10,NA,NA,NA,0.751
2001-06-30,Q2/01,11,NA,NA,NA,0.827
2001-09-30,Q3/01,12,NA,NA,NA,0.85
2001-12-30,Q4/01,13,NA,NA,0.125,0.746
2002-03-30,Q1/02,14,NA,NA,0.062,0.813
2002-06-30,Q2/02,15,NA,NA,0.054,0.808
2002-09-30,Q3/02,16,NA,NA,0.14,0.734
2002-12-30,Q4/02,17,NA,NA,0.219,0.743
2003-03-30,Q1/03,18,NA,NA,0.08,0.711
2003-06-30,Q2/03,19,NA,NA,0.304,0.771
2003-09-30,Q3/03,20,NA,NA,0.336,0.787
2003-12-30,Q4/03,21,NA,NA,0.733,0.829
2004-03-30,Q1/04,22,NA,NA,0.807,0.749
2004-06-30,Q2/04,23,NA,NA,0.86,0.876
2004-09-30,Q3/04,24,NA,NA,2.016,0.836
2004-12-30,Q4/04,25,NA,NA,4.58,1.046
2005-03-30,Q1/05,26,NA,NA,5.311,1.07
2005-06-30,Q2/05,27,NA,NA,6.155,1.182
2005-09-30,Q3/05,28,NA,NA,6.451,1.236
2005-12-30,Q4/05,29,NA,NA,14.043,1.254
2006-03-30,Q1/06,30,NA,NA,8.526,1.112
2006-06-30,Q2/06,31,NA,NA,8.111,1.327
2006-09-30,Q3/06,32,NA,NA,8.729,1.61
2006-12-30,Q4/06,33,NA,NA,21.066,1.606
2007-03-30,Q1/07,34,NA,NA,10.549,1.517
2007-06-30,Q2/07,35,0.27,NA,9.815,1.764
2007-09-30,Q3/07,36,1.119,NA,10.2,2.164
2007-12-30,Q4/07,37,2.315,NA,22.121,2.319
2008-03-30,Q1/08,38,1.703,NA,10.644,2.289
2008-06-30,Q2/08,39,0.717,NA,11.011,2.496
2008-09-30,Q3/08,40,6.892,NA,11.052,2.611
2008-12-30,Q4/08,41,4.363,NA,22.727,2.524
2009-03-30,Q1/09,42,3.793,NA,11.013,2.216
2009-06-30,Q2/09,43,5.208,NA,10.215,2.603
2009-09-30,Q3/09,44,7.367,NA,10.177,3.053
2009-12-30,Q4/09,45,8.737,NA,20.97,3.362
2010-03-30,Q1/10,46,8.752,NA,10.885,2.943
2010-06-30,Q2/10,47,8.398,3.27,9.406,3.472
2010-09-30,Q3/10,48,14.102,4.188,9.051,3.885
2010-12-30,Q4/10,49,16.235,7.331,19.446,4.134
2011-03-30,Q1/11,50,18.647,4.694,9.017,3.76
2011-06-30,Q2/11,51,20.338,9.246,7.535,3.947
2011-09-30,Q3/11,52,17.073,11.123,6.622,4.894
2011-12-30,Q4/11,53,37.044,15.434,15.397,5.198
2012-03-30,Q1/12,54,35.064,11.798,7.673,4.017
2012-06-30,Q2/12,55,26.028,17.042,6.751,4.02
2012-09-30,Q3/12,56,26.91,14.036,5.344,4.923
2012-12-30,Q4/12,57,47.789,22.86,12.679,4.061
2013-03-30,Q1/13,58,37.43,19.477,5.633,3.952
2013-06-30,Q2/13,59,31.241,14.617,4.569,3.754
2013-09-30,Q3/13,60,33.797,14.079,3.498,4.574
2013-12-30,Q4/13,61,51.025,26.035,6.049,4.837
2014-03-30,Q1/14,62,43.719,16.35,2.761,4.136
2014-06-30,Q2/14,63,35.203,13.276,2.926,4.413
2014-09-30,Q3/14,64,39.272,12.316,2.641,5.52
2014-12-30,Q4/14,65,74.468,21.419,NA,5.519
2015-03-30,Q1/15,66,61.17,12.623,NA,4.563
2015-06-30,Q2/15,67,47.534,10.931,NA,4.796
2015-09-30,Q3/15,68,48.05,9.88,NA,5.71
2015-12-30,Q4/15,69,74.78,16.12,NA,5.31
2016-03-30,Q1/16,70,51.2,10.25,NA,4.03
2016-06-30,Q2/16,71,40.399,9.95,NA,4.252
2016-09-30,Q3/16,72,45.513,9.267,NA,4.886
2016-12-30,Q4/16,73,78.29,13.081,NA,5.374
2017-03-30,Q1/17,74,50.763,8.922,NA,4.199
2017-06-30,Q2/17,75,41.026,11.424,NA,4.292
2017-09-30,Q3/17,76,46.677,10.326,NA,5.386
2017-12-30,Q4/17,77,77.316,13.17,NA,5.112
2018-03-30,Q1/18,78,52.217,9.113,NA,4.078
